페블레 뿌이 퓌세,Faiveley Pouilly Fuisse,화이트,None,None,None,None,None,None,1,
페블레 부르고뉴 샤도네이,Faiveley Bourgogne Chardonnay,화이트,None,None,None,None,None,None,1,
페블레 부르고뉴 피노누아,Faiveley Bourgogne Pinot Noir,레드,None,None,None,None,None,None,None,
페블레 부르고뉴 알리고떼,Faiveley Bourgogne Aligote,화이트,None,10~12℃,None,1,None,1,1,
페블레  메르퀴레 루즈,Faiveley  Mercurey Rouge,레드,None,16~18℃,None,1,3,3,2,
페블레 비엥브뉘 바따 몽라쉐 그랑 크뤼,Faiveley Bienvenues Batard Montrachet Grand Cru,화이트,None,None,None,None,None,None,1,
페블레 바타르 몽라쉐 그랑 크뤼,Faiveley Batard Montrachet Grand Cru,화이트,None,None,None,None,None,None,1,
페블레 뫼르소,Faiveley Meursault,화이트,None,10~12℃,None,1,None,4,1,
페블레 샤샤뉴 몽라쉐,Faiveley Chassagne Montrachet,화이트,None,None,None,None,None,None,1,
페블레 샤샤뉴 몽라쉐 일등급 '모르조',Faiveley Chassagne Montrachet 1er Cru 'Morgeot',화이트,None,10~12℃,None,1,None,None,1,
페블레 본 끌로 데 레뀌 프르미에 크뤼,Faiveley Beaune Clos de L'ecu 1er Cru,레드,None,None,None,None,None,None,None,
페블레  꼬르똥 '끌로 데 꼬르똥 페블레' 모노폴 그랑 크뤼,Faiveley  Corton 'Clos des Cortons Faiveley' Monopole Grand Cru,레드,None,16~18℃,None,1,3,4,3,
미숑 쌩 뱅쌍 보르도 리저브,Mission Saint Vincent Bordeaux Reserve,레드,12.5,16~18℃,28000,1,None,3,None,
샤펠 드 라 트리니떼 쌩떼밀리옹,Chapelle de La Trinite Saint-Emilion,레드,None,16~18℃,55000,1,None,3,None,
메독 드 뽀 로얄 메독,Medoc de Port Royal Medoc,레드,None,16~18℃,None,1,None,4,None,
생 수페리 소비뇽 블랑,St. Supery Sauvignon Blanc,화이트,13.5,8~10℃,None,1,None,3,1,
보리 마뉘 뀌베 보리 루즈,Borie Manoux Cuvee Borie Rouge,레드,12.0,15~17℃,None,1,None,3,None,
파트리찌 모스카토 다스티,Patrizi Moscato d'Asti,화이트,None,8~10℃,None,4,None,3,1,
페블레 뉘 쌩 죠르쥬,Faiveley Nuits St Georges,레드,None,16~18℃,None,2,None,3,None,
에멘디스 까바 브룻 네이쳐 그란 리제르바,Emendis Cava Brut Nature Gran Reserva,스파클링,11.5,4℃,None,1,None,5,None,
페블레  뉘 쌩 죠르쥬 프르미에 크뤼 '레 뽀레 쌩 죠르쥐',Faiveley  Nuits St. George 1er Cru 'Les Porets St Georges',레드,None,14~16℃,None,1,3,3,3,
페블레 제브리 샹베르땡 1등급 '꽁브 오 므안느',Faiveley Gevrey 1er Cru Chambertin 'Combe Aux Moines',레드,None,None,None,None,None,None,None,
로스 알리베스 카베르네 프랑,Los Aljibes Cabernet Franc,레드,13.5,16~18℃,None,1,None,4,None,
레알탄자,Lealtanza,레드,None,16~18℃,None,1,None,4,None,
보데가 아라얀 쉬라,Bodega Arrayan Syrah,레드,14.0,16~18℃,None,1,None,5,None,
보데가 아라얀 쁘띠 베르도,Bodega Arrayan Petit Verdot,레드,14.0,16~18℃,None,1,None,5,None,
디 지오르지오 루신데일 스파클링 메를로,Di Giorgio Lucindale Sparkling Merlot,스파클링,12.5,6~8℃,55000,2,None,3,None,
페블레  마지 샹베르땡 그랑 크뤼,Faiveley  Mazis Chambertin Grand Cru,레드,None,15~17℃,None,1,3,4,3,
보데가 아라얀 프리미엄,Bodega Arrayan Premium,레드,14.0,18℃,None,1,None,5,None,
페블레 라트리시에르 샹베르땡,Faiveley Latricieres Chambertin,레드,None,16~18℃,None,2,None,3,None,
페블레 샹베르땡 끌로 드 베제 그랑크뤼 '우브레 로댕',Faiveley Chambertin Clos de Beze Grand Cru 'Ouvrees Rodin',레드,None,None,None,1,None,5,None,
페블레 끌로 드 부죠 그랑 크뤼,Faiveley Clos de Vougeot Grand Cru,레드,None,None,None,None,None,None,None,
페블레 제브리 샹베르땡 1등급 '꼴로 데 지싸르',Faiveley Gevrey 1er Cru Chambertin 'Clos des Issarts',레드,None,None,None,None,None,None,None,
라 샤블리지엔 샤블리 '르 피나쥐',La Chablisienne Chablis 'Le Finage',화이트,12.5,10~12℃,None,1,None,3,1,
라 샤블리지엔 샤블리 라 삐에를레,La Chablisienne Chablis La Pierrelee,화이트,12.5,10~12℃,None,1,None,2,1,
라 샤블리지엔 샤블리 프리미에 크뤼 푸르숌,La Chablisienne Chablis 1er Cru Fourchaume ,화이트,None,10~12℃,None,1,None,4,1,
샤블리 1등급 바이용,Chablis 1er Cru 'Vaillons' ,화이트,None,10~12℃,None,1,None,4,1,
포데레 브리지오 브루넬로 디 몬탈치노 리쎄르바,Podere Brizio Brunello dI Montalcino Riserva,레드,14.5,16~18℃,None,1,None,5,None,
굴피 네로마카리,Gulfi Neromaccarj,레드,13.5,16~18℃,None,1,None,4,None,
핀카 몬테페드로쏘 베르데호,Finca Montepedroso Verdejo ,화이트,12.5,8~10℃,None,1,None,3,1,
보떼르 모스카토 ,Botter Moscato ,화이트,8.0,6~8℃,30000,4,None,3,1,
캄포 로호 그란셀렉시온,Campo Rojo Gran Seleccion,레드,None,16~18℃,35000,1,None,4,None,
캄포 로호 그란 셀렉션 스위트,Campo Rojo Gran Seleccion Sweet,레드,None,14~16℃,35000,4,None,3,None,
오퍼스 원,Opus One,레드,None,16~18℃,600000,1,3,5,4,
아뻬띠 드 프랑스 메를로,Appetit de France Merlot,레드,None,16~18℃,None,1,None,3,None,
아뻬띠 드 프랑스 까베르네 소비뇽,Appetit de France Cabernet Sauvignon,레드,None,16~18℃,None,1,None,3,None,
아뻬띠 드 프랑스 시라 로제,Appetit de France Syrah Rose,로제,None,11~13℃,None,2,None,3,None,
아뻬띠 드 프랑스 샤르도네,Appetit de France Chardonnay,화이트,None,9~11℃,None,1,None,3,1,
샤또 샤스 스플린,Chateau Chasse Spleen,레드,None,16~18℃,140000,1,3,4,4,
샤또 깡뜨냑 브라운,Chateau Cantenac Brown ,레드,None,16~18℃,200000,1,None,4,None,
샤또 깡뜨메를르,Chateau Cantemerle,레드,13.5,16~18℃,120000,1,3,4,4,
덕혼  패러덕스 ,Duckhorn  Paraduxx,레드,None,16~18℃,135000,1,3,5,4,
비네롱 드 뷕시 크레망 드 부르고뉴 로제 ,Vignerons de Buxy Cremant de Bourgogne Rose,스파클링,None,None,None,None,None,None,None,
깔리아 알타 말벡,Callia Alta Malbec,레드,13.5,16~18℃,33000,1,None,4,None,
깔리아 알타 까베르네 소비뇽,Callia Alta Cabernet Sauvignon,레드,13.6,16~18℃,33000,1,None,4,None,
깔리아 리제르바도 말벡,Callia Reservado Malbec,레드,14.0,16~18℃,45000,1,None,None,None,
깔리아 리제르바도 토론테스,Callia Reservado Torrontes,화이트,13.7,16~18℃,None,1,None,None,1,
깔리아 마그나 말벡,Callia Magna Malbec,레드,14.0,16~18℃,60000,1,None,3,None,
깔리아 마그나 까베르네 소비뇽,Callia Magna Cabernet Sauvignon,레드,14.0,16~18℃,60000,1,None,3,None,
코노 수르 실렌시오,Cono Sur Silencio,레드,None,16~19℃,490000,1,None,5,None,
코노 수르 투웬티 배럴즈 소비뇽 블랑,Cono Sur 20 Barrels Sauvinon Blanc,화이트,13.0,8~10℃,None,1,None,3,1,
코노 수르 투웬티 배럴스 쉬라,Cono Sur 20 Barrels Syrah,레드,None,16~18℃,None,1,None,4,None,
코노 수르  토코르날 까베르네 쇼비뇽,Cono Sur  Tocornal Cabernet Sauvignon,레드,13.2,16~18℃,None,1,None,3,None,
코노 수르  토코르날 메를로,Cono Sur  Tocornal Merlot,레드,13.2,16~18℃,None,1,None,3,None,
비니 라 델리찌아 마스카레리 프로쎄코 ,Vini la delizia Mascareri Prosecco,스파클링,11.0,10℃,39000,None,None,None,None,
액커만 몽무쏘 퀴베 제이엠,Ackerman Monmousseau Cuvee JM ,스파클링,12.0,6~8℃,39000,1,None,3,None,
르 샤 누아 피노그리,Le Chat Noir Pinot Gris,화이트,13.0,10~12℃,35000,None,None,None,1,
보어 앤 브릿 밥스 유어 엉클 화이트,Boer & Brit Bob's Your Uncle White,화이트,None,10~12℃,20000,2,None,3,1,
보어 앤 브릿 밥스 유어 엉클 레드,Boer & Brit Bob's Your Uncle Red,레드,None,16~18℃,20000,2,None,3,None,
운두라가  웁스 까르미네르 멀롯,Undurraga  Oops Carmenere Merlot,레드,13.5,16~18℃,None,2,None,3,None,
와인맨 오브 고담 브륏 퀴베,Wine Men Of Gotham Brut Cuvee,스파클링,11.0,10℃,20000,None,None,None,None,
와인맨 오브 고담 모스카토,Wine Men of Gotham Moscato,화이트,11.0,11℃,20000,None,None,None,1,
와인맨 오브 고담 쉬라즈,Wine Men Of Gotham Shiraz,레드,13.2,16~18℃,20000,None,None,None,None,
와인맨 오브 고담 까버네 소비뇽,Wine Men  Of Gotham Cabernet Sauvignon,레드,13.0,16~18℃,18000,None,None,None,None,
