47,알타 시마  AC 4090 카베르네 소비뇽,Alta Cima  AC 4090 Cabernet Sauvignon,레드,13.5,16~18℃,None,1,3,3,4
48,알타 시마  AC 4090 샤르도네,Alta Cima  AC 4090 Chardonnay,화이트,14.0,10~12℃,None,1,3,3,1
49,나트나우스  베렌아우스레제 뮈스캇 오트넬,Nittnaus  Beerenauslese Muskat Ottonel,화이트,10.0,6~8℃,59000,5,3,5,1
50,샤또 그라비테,Chateau Crabitey,화이트,13.0,10~12℃,69000,1,3,3,1
51,맥기건  핸드 메이드 랑혼 크릭 쉬라즈,McGuigan  Hand Made Langhorne Creek Shiraz,레드,14.0,16~18℃,152000,1,3,5,5
52,맥기건  숏리스트 클레어 밸리 쉬라즈,McGuigan  The Shortlist Clare Valley Shiraz,레드,15.0,16~18℃,104000,1,4,4,4
53,얼바인  스프링 힐 멜롯,Irvine  Spring Hill Melot,레드,14.4,16~18℃,50000,1,3,4,4
54,칼레스케  요한 게오르그 쉬라즈,Kalleske  Johann Georg Shiraz,레드,14.0,16~18℃,500000,1,4,5,5
55,칼레스케  에두아르드 쉬라즈,Kalleske  Eduard Shiraz,레드,14.0,16~18℃,300000,1,3,5,4
56,칼레스케  그리녹 쉬라즈,Kalleske  Greenock Shiraz,레드,14.0,15~17℃,142000,1,3,5,4
57,칼레스케  모파 쉬라즈,Kalleske  Moppa Shiraz,레드,14.5,15~17℃,100000,1,3,5,4
58,칼레스케  클레리스 GSM,Kalleske  Clarry’s GSM,레드,14.0,15~17℃,82000,1,3,4,4
59,칼레스케  자이트가이스트 쉬라즈,Kalleske  Zeitgeist Shiraz,레드,14.0,15~17℃,94000,1,3,4,4
60,맥기건  빈 9000 세미용,McGuigan  Bin 9000 Semillon,화이트,None,7~8℃,62000,1,3,2,1
61,멀티 베스트 빈티지,Multi Best Vintage,레드,14.0,16~18℃,89800,1,2,4,4
62,멀티 베스트 셀렉션,Multi Best Seletion,레드,14.0,16~18℃,59800,1,2,4,4
63,멀티 베스트 존,Multi Best Zone,레드,14.0,16~18℃,39800,1,2,4,4
64,로랑 베나르  비브라토 엑스트라 브뤼,Laurent Benard  Vibrato Extra Brut,스파클링,None,6~8℃,248000,1,3,3,1
65,제이 윌크스 까베르네 소비뇽,J.Wilkes Cabernet Sauvignon,레드,13.9,16~18℃,120000,1,4,5,4
66,제이 윌크스 산타 마리아 밸리 피노누아,J.Wilkes Santa Maria Valley Pinot Noir,레드,14.3,15~17℃,120000,1,3,4,3
67,제이 윌크스 산타 마리아 밸리 샤도네이,J.Wilkes Santa Maria Valley Chardonnay,화이트,14.2,10~12℃,96000,1,3,3,1
68,라르 데 바로스,Lar De Barros,레드,14.0,16~18℃,49000,1,3,4,3
69,루타스 델 아르떼,Rutas Del ARTE,레드,13.0,16~18℃,40000,1,3,4,3
70,테누다 디 콜로소르보  브루넬로 디 몬탈치노,Tenuta di Collosorbo  Brunello di Montalcino,레드,14.5,16~18℃,160000,1,3,5,4
71,테누타 디 콜로소르보  로쏘 디 몬탈치노,Tenuta di Collosorbo  Rosso di Montalcino,레드,14.0,16~18℃,80000,1,3,4,3
72,루이 블랑,Louis Blanc,스파클링,12.0,6~8℃,80000,1,3,3,1
73,스템베르거  메를로 '마세레이티드 와인',Stemberger  Merlot 'Macerated',레드,13.0,16~18℃,160000,1,3,3,3
74,스템베르거  로비니아 '오렌지 와인',Stemberger  Robinia 'Orange Wine',화이트,13.0,10~12℃,150000,1,3,3,1
75,스템베르거  젤렌,Stemberger  Zelen,화이트,11.8,10~12℃,120000,1,3,3,1
76,보데가 세론  헤라다 ‘암포라 와인’,Bodega Cerron  Herrada ‘Amphora’,레드,13.0,16~18℃,150000,1,3,4,3
77,프레리  로제 (내추럴 스파클링),Frelih  Rose (Natural  Undisgorged),스파클링,12.0,6~8℃,130000,1,3,3,1
78,프레리  블랑 (내추럴 스파클링) ,Frelih  Blanc (Natural  Undisgorged),스파클링,12.0,6~8℃,130000,1,3,3,1
79,로아냐 솔레라,Roagna Solea,화이트,12.0,10~12℃,140000,1,3,3,1
80,팔라찌 블랑 드 블랑 밀레시마토,Palazzi Blanc de Blancs Millesimato,스파클링,11.0,6~8℃,27000,1,3,2,1
81,루메지오 디 비앙코 콘트로구에라,Lumeggio di Bianco Controguerra,화이트,12.5,9~11℃,36000,1,3,2,1
82,루메지오 디 로쏘 몬테풀치아노 다브르쪼,Lumeggio di Rosso Montepulciano d'Abruzzo,레드,13.5,16~18℃,36000,1,3,4,3
83,바타시올로  세테 카시네 코넬리아노 발도비아데네 프로세코 슈페리오레,Batasiolo  Sette Cascine Conegliano Valdobbiadene Prosecco Superiore,스파클링,None,7~9℃,60000,1,2,2,1
84,그랜트 버지  네부 카베르네 쉬라즈,Grant Burge  Nebu Cabernet Shiraz,레드,14.3,16~18℃,None,1,3,5,5
85,그랜트 버지  헬렌 그랑 뀌베,Grant Burge  Helene Grand Cuvee,스파클링,12.2,6~8℃,None,1,3,3,1
86,그랜트 버지  스파클링 피노 누아 샤르도네,Grant Burge  Sparkling Pinot Noir Chardonnay,스파클링,12.5,6~8℃,None,1,4,2,1
87,그랜트 버지  릴리 팜 프론티냑,Grant Burge  Lily Farm Frontignac,화이트,11.0,8~10℃,None,1,4,2,1
88,그랜트 버지  서머스 샤도네이,Grant Burge  Summers Chardonnay,화이트,12.5,10~12℃,None,1,3,4,1
89,그랜트 버지  이스트 아가일 피노 그리,Grant Burge  East Argyle Pinot Gris,화이트,12.5,10~12℃,None,1,3,3,1
90,그랜트 버지  달리 로드 쉬라즈 무르베드르,Grant Burge  Daly Road Shiraz Mourvedre,레드,14.3,17~19℃,None,1,3,5,4
91,롬바우어  나파밸리 카베르네 소비뇽,Rombauer  Napa Valley Cabernet Sauvignon,레드,14.5,16~18℃,120000,1,3,5,4
92,롬바우어  나파밸리 소비뇽 블랑,Rombauer  Napa Valley Sauvignon Blanc,화이트,14.4,8~10℃,60000,1,4,2,1
93,롬바우어  카네로스 샤도네이,Rombauer  Carneros Chardonnay,화이트,14.5,11~13℃,80000,1,3,4,1
94,화란덕 로제 와인,Hualande Rose Wine,로제,10.0,10~12℃,28000,4,1,3,1
95,화란덕 화이트 와인,Hualande White Wine,화이트,7.0,10~12℃,38000,2,3,2,1
96,화란덕 프리미엄 아이스와인,Hualande Premium Ice Wine,로제,6.5,6~8℃,78000,5,1,4,1
97,레오나르드 커리쉬  크리스트킨들 글루바인,Leonard Kreusch  Christkindles Gluhwein,기타,8.5,70~80℃,18000,4,2,5,1
98,레오나르드 커리쉬  사파이어 셀렉션 아우스레제,Leonard Kreusch  Sapphire Selection Auslese,화이트,9.0,7℃,42000,4,3,3,1
99,레오나르드 커리쉬  사파이어 셀렉션 슈페트레제,Leonard Kreusch  Sapphire Selection Spatlese,화이트,9.0,8~10℃,32000,3,3,2,1
100,레오나르드 커리쉬  사파이어 셀렉션 카비넷,Leonard Kreusch  Sapphire Selection Kabinett,화이트,8.5,8~10℃,30000,2,3,2,1
101,레오나르드 커리쉬  리프라우밀히,Leonard Kreusch  Liebfraumilch,화이트,9.5,8~10℃,16000,2,3,2,1
102,미오네토  프로세코 브뤼,Mionetto  Prosecco Brut,스파클링,11.0,6~8℃,65000,1,3,3,1
103,또스띠  레드 아모레,Tosti  Red Amore,스파클링,5.5,6~8℃,35000,4,2,2,2
